,ISO,Scores,Old_Scores
153,PER,67.67855834960938,54.272064208984375
41,COL,50.650306701660156,38.928466796875
26,BOL,46.879676818847656,42.973548889160156
152,PAN,44.406246185302734,42.989253997802734
104,KGZ,38.264488220214844,36.25986099243164
35,CHL,34.206764221191406,44.55645751953125
125,MEX,33.394805908203125,36.052764892578125
27,BRA,32.32154083251953,44.75132751464844
208,ZAF,29.72062110900879,19.269712448120117
85,HND,29.0809268951416,22.53445053100586
149,OWID_KOS,24.570133209228516,18.011491775512695
8,ARM,20.923036575317383,36.046051025390625
126,MKD,19.674694061279297,25.15049171447754
94,IRQ,19.320497512817383,20.398998260498047
199,USA,18.867738723754883,14.252974510192871
7,ARG,18.420475006103516,15.28475570678711
81,GTM,17.886842727661133,14.539843559265137
122,MDA,17.654542922973633,20.308086395263672
181,SWZ,17.306081771850586,8.655465126037598
4,ALB,16.642364501953125,9.125360488891602
22,BIH,16.278661727905273,12.228294372558594
93,IRN,14.961496353149414,13.562065124511719
56,ECU,14.168832778930664,16.97523307800293
163,ROU,13.906521797180176,15.204690933227539
174,SRB,12.916635513305664,15.27568531036377
171,SLV,12.876978874206543,13.221654891967773
44,CRI,12.085601806640625,9.868908882141113
148,OMN,11.495555877685547,11.663200378417969
54,DOM,11.390045166015625,10.765873908996582
102,KAZ,11.32841682434082,11.554084777832031
166,SAU,10.368728637695312,12.2254638671875
12,AZE,9.983142852783203,8.359146118164062
78,GRC,9.865388989448547,1.0101876258850098
164,RUS,9.65758991241455,10.528186798095703
130,MNE,9.642974853515625,15.767141342163086
177,SUR,9.616170883178711,8.800494194030762
150,OWID_WRL,9.196317672729492,8.471818923950195
20,BHR,9.173483848571777,10.217486381530762
157,PRI,9.056035995483398,8.235760688781738
108,KWT,8.939767837524414,8.101247787475586
96,ISR,8.934709548950195,8.647501945495605
91,IND,8.643319129943848,6.851000785827637
118,LUX,8.514792442321777,5.704927921295166
205,VIR,8.293293952941895,9.462787628173828
160,PSE,7.891852855682373,8.530475616455078
19,BGR,7.832481861114502,9.310493469238281
139,NAM,7.685230731964111,6.703464984893799
162,QAT,7.2256975173950195,7.9618682861328125
43,CPV,6.77308464050293,7.2584638595581055
169,SGP,6.674346446990967,3.9750852584838867
34,CHE,6.019279956817627,2.3194122314453125
68,GAB,5.620895862579346,4.962891578674316
124,MDV,5.5258331298828125,6.05881404876709
21,BHS,5.514682769775391,6.435825347900391
5,AND,5.435495853424072,5.039041996002197
6,ARE,5.064998626708984,2.690681219100952
180,SWE,5.060348033905029,9.421849250793457
60,ESP,4.7,-255.0716552734375
159,PRY,4.5046916007995605,3.9447216987609863
182,SXM,4.495728492736816,1.1241921186447144
158,PRT,4.458807945251465,3.760693073272705
23,BLR,4.4478936195373535,4.5004143714904785
110,LBN,4.342392921447754,2.6549203395843506
121,MCO,4.2608842849731445,1.1957674026489258
69,GBR,4.087899780273438,5.54935359954834
86,HRV,4.037145614624023,3.650892496109009
72,GHA,3.924017906188965,2.8028109073638916
120,MAR,3.8988263607025146,1.6032183170318604
197,UKR,3.7907776832580566,4.387697219848633
49,CZE,3.6927664279937744,3.013669490814209
18,BGD,3.4662885665893555,3.2771127223968506
55,DZA,3.4059576988220215,3.286322593688965
200,UZB,3.2545900344848633,2.749577283859253
10,AUS,3.2215843200683594,2.5881147384643555
112,LBY,3.004160165786743,3.1845009326934814
14,BEL,3.0,5.0506415367126465
156,POL,2.9846506118774414,2.456693172454834
185,TCA,2.9681034088134766,3.8794679641723633
57,EGY,2.8638548851013184,3.7188382148742676
203,VEN,2.8154428005218506,2.491358757019043
193,TUR,2.792191982269287,2.81095552444458
154,PHL,2.7846689224243164,3.7590036392211914
33,CAN,2.6875133514404297,2.6233203411102295
9,ATG,2.6172091960906982,0.2764568030834198
176,STP,2.5922908782958984,0.9405279755592346
89,IDN,2.5861523151397705,2.643324613571167
73,GIB,2.5680899620056152,0.8134219646453857
103,KEN,2.5416293144226074,2.364384651184082
209,ZMB,2.5055456161499023,1.617415428161621
66,FRA,2.5017759799957275,1.9725241661071777
123,MDG,2.4823052883148193,2.665067672729492
116,LSO,2.444272994995117,0.9906466007232666
83,GUY,2.414628505706787,1.8543111085891724
11,AUT,2.3896913528442383,2.3947184085845947
144,NLD,2.255491018295288,1.5213665962219238
168,SEN,2.205998420715332,2.0522255897521973
82,GUM,1.962249517440796,2.1331796646118164
210,ZWE,1.8839752674102783,1.6156123876571655
67,FRO,1.8280819654464722,0.7376852035522461
75,GMB,1.7582582235336304,0.960838258266449
179,SVN,1.7451744079589844,2.0086793899536133
151,PAK,1.6583340167999268,2.0850257873535156
31,BWA,1.6080384254455566,0.3419020473957062
51,DJI,1.5237770080566406,1.529775857925415
137,MWI,1.5047188997268677,1.905188798904419
1,AFG,1.4584567546844482,2.4248147010803223
62,ETH,1.4447317123413086,1.0254383087158203
97,ITA,1.4181413650512695,1.6233853101730347
92,IRL,1.4068342447280884,1.5339910984039307
50,DEU,1.3558831214904785,1.1385504007339478
53,DNK,1.34393310546875,1.1734564304351807
132,MNP,1.3379554748535156,0.6489619612693787
95,ISL,1.3280410766601562,0.39706942439079285
143,NIC,1.3220793008804321,1.4321602582931519
146,NPL,1.2649483680725098,0.999908447265625
134,MRT,1.2624627351760864,0.6925811171531677
74,GIN,1.2467114925384521,1.0131109952926636
198,URY,1.2409021854400635,1.2499473094940186
25,BMU,1.194960117340088,0.5229636430740356
