,ISO,Scores,Old_Scores
152,PER,23.727882385253906,23.72818374633789
35,CHL,23.717443466186523,23.602230072021484
124,MEX,23.71181869506836,23.657211303710938
125,MKD,23.59735107421875,23.69534683227539
27,BRA,23.548683166503906,23.628480911254883
26,BOL,23.09695053100586,18.461074829101562
151,PAN,22.921890258789062,19.82098960876465
198,USA,22.276634216308594,19.836078643798828
121,MDA,20.785921096801758,22.504451751708984
179,SWE,20.670997619628906,15.106231689453125
41,COL,20.27025032043457,14.26254940032959
93,IRQ,20.115400314331055,17.235868453979492
8,ARM,19.627782821655273,23.190433502197266
56,ECU,16.593904495239258,20.197813034057617
84,HND,15.169609069824219,9.146897315979004
165,SAU,15.081681251525879,16.8831787109375
43,CPV,14.232934951782227,4.905453681945801
207,ZAF,14.21302604675293,12.081249237060547
20,BHR,13.831096649169922,14.711633682250977
170,SLV,12.294193267822266,5.798497200012207
81,GTM,11.497220993041992,8.97343921661377
69,GBR,11.339876174926758,12.836758613586426
163,RUS,10.639853477478027,9.20531940460205
7,ARG,10.072924613952637,8.796266555786133
133,MRT,9.715513229370117,14.247421264648438
161,QAT,9.419018745422363,9.450583457946777
54,DOM,9.410064697265625,9.138566970825195
92,IRN,9.016801834106445,10.532893180847168
12,AZE,8.312618255615234,9.389826774597168
57,EGY,7.480826377868652,7.595322608947754
68,GAB,6.8456950187683105,8.409331321716309
176,SUR,6.190563201904297,6.3907670974731445
107,KWT,6.020185947418213,13.77651309967041
23,BLR,5.8572163581848145,10.096768379211426
76,GNB,5.498556137084961,4.497706890106201
162,ROU,5.40922737121582,7.482118606567383
147,OMN,5.361363410949707,8.654533386230469
22,BIH,5.307994842529297,2.9015250205993652
149,OWID_WRL,5.303289413452148,5.536516189575195
60,ESP,5.1945648193359375,-3.8209049701690674
95,ISR,4.747152328491211,2.191038131713867
157,PRT,4.746095657348633,3.389395236968994
4,ALB,4.637477397918701,3.0712413787841797
32,CAF,4.483401298522949,8.138126373291016
196,UKR,4.405170917510986,3.293924570083618
101,KAZ,4.238167762756348,3.1283340454101562
51,DJI,4.018412113189697,5.610910415649414
103,KGZ,3.772139549255371,3.4212446212768555
145,NPL,3.7056314945220947,1.5785961151123047
33,CAN,3.443829298019409,8.606844902038574
6,ARE,3.4146716594696045,3.255582571029663
66,FRA,3.3399031162261963,3.5288450717926025
156,PRI,3.295117139816284,3.0462088584899902
82,GUM,3.2574219703674316,2.784757614135742
1,AFG,3.1652400493621826,3.1724953651428223
59,ESH,3.114100694656372,0.49230313301086426
40,COG,3.056516408920288,1.1456577777862549
155,POL,3.008608341217041,3.1156747341156006
19,BGR,2.962883234024048,4.437982559204102
90,IND,2.9418551921844482,3.2105464935302734
150,PAK,2.909243583679199,4.036273956298828
91,IRL,2.886730432510376,1.5880510807037354
173,SRB,2.778805732727051,2.127957820892334
49,CZE,2.6034491062164307,2.1441473960876465
14,BEL,2.5458908081054688,3.337264060974121
192,TUR,2.5361034870147705,2.2816524505615234
120,MCO,2.5081253051757812,0.04429459571838379
158,PRY,2.494459867477417,0.3883936405181885
18,BGD,2.488051652908325,2.505157709121704
180,SWZ,2.4868855476379395,3.0229291915893555
83,GUY,2.4683456420898438,0.9926197528839111
159,PSE,2.41595196723938,0.818112850189209
37,CIV,2.397946357727051,2.294982671737671
53,DNK,2.3094191551208496,2.5843794345855713
96,ITA,2.280224323272705,4.433871269226074
86,HTI,2.2191648483276367,2.239511013031006
117,LUX,2.218122720718384,1.5457576513290405
55,DZA,2.1230015754699707,1.751818299293518
38,CMR,2.116196870803833,4.064045429229736
50,DEU,2.113111734390259,2.2508764266967773
11,AUT,2.1109509468078613,1.6614582538604736
72,GHA,2.0946242809295654,2.521028995513916
167,SEN,2.0922932624816895,2.239370346069336
175,STP,2.0918753147125244,2.336704969406128
166,SDN,2.0356311798095703,2.5469112396240234
