Name,Entry_point,Capacity
Προμαχώνας (Βουλγαρία),Entry_1,500
Νυμφαία (Βουλγαρία),Entry_2,0
Εύζωνοι (Β. Μακεδονία),Entry_3,0
Θεσσαλονίκη,Entry_4,650
Καβάλα,Entry_5,70
Καλαμάτα,Entry_6,50
Καστανιές (Tουρκία),Entry_7,0
Κήποι (Tουρκία),Entry_8,0
Μυτιλήνη,Entry_9,100
Ρόδος,Entry_10,800
Kάρπαθος,Entry_11,50
Λιμάνι Ρόδου,Entry_12,100
Μύκονος,Entry_13,150
Πάρος,Entry_14,90
Σαντορίνη,Entry_15,180
Σάμος,Entry_16,75
Διεθνής Αερολιμένας Αθηνών,Entry_17,1600
Κέρκυρα,Entry_18,340
Κως,Entry_19,300
Ζάκυνθος,Entry_20,230
Κεφαλονιά,Entry_21,120
Άκτιο,Entry_22,120
Άραξος,Entry_23,70
Σκύρος,Entry_24,70
Χίος,Entry_25,70
Λήμνος,Entry_26,80
Κύθηρα,Entry_27,80
Λιμάνι Πειραιά,Entry_28,200
Λιμάνι Κέρκυρας,Entry_29,80
Σκιάθος,Entry_30,85
Αγχίαλος,Entry_31,270
Λιμάνι Βόλου,Entry_32,70
Ηράκλειο,Entry_33,900
Χανιά,Entry_34,275
Σητεία,Entry_35,80
Λιμένας Πάτρας,Entry_36,70
Λιμάνι Κατακώλου ,Entry_37,70
Ιωάννινα,Entry_38,80
Λιμένας Ηγουμενίτσας,Entry_39,250
Κρυσταλλoπηγή (Aλβανία),Entry_40,0
Κακαβιά (Aλβανία),Entry_41,360
Ηράκλειο (Κρουαζιερόπλοια), Entry_42, 0
Εξοχή, Entry_43, 0
