Entry_point,First_Viable_Date
Entry_1,2020-07-16
Entry_2,2025-01-01
Entry_3,2025-01-01
Entry_4,2020-07-31
Entry_5,2025-01-01
Entry_6,2025-01-01
Entry_7,2025-01-01
Entry_8,2025-01-01
Entry_9,2025-01-01
Entry_10,2020-07-27
Entry_11,2025-01-01
Entry_12,2025-01-01
Entry_13,2020-07-27
Entry_14,2025-01-01
Entry_15,2020-07-27
Entry_16,2025-01-01
Entry_17,2020-07-23
Entry_18,2020-07-27
Entry_19,2020-07-27
Entry_20,2020-07-27
Entry_21,2020-07-27
Entry_22,2020-07-27
Entry_23,2025-01-01
Entry_24,2025-01-01
Entry_25,2025-01-01
Entry_26,2025-01-01
Entry_27,2025-01-01
Entry_28,2020-07-23
Entry_29,2020-07-23
Entry_30,2025-01-01
Entry_31,2025-01-01
Entry_32,2020-07-23
Entry_33,2025-01-01
Entry_34,2020-07-27
Entry_35,2025-01-01
Entry_36,2020-07-23
Entry_37,2020-07-23
Entry_38,2025-01-01
Entry_39,2020-07-23
Entry_40,2025-01-01
Entry_41,2025-01-01
